CODGEO;LIBGEO;SEXE;AGED100;NB
13201;Marseille 1er Arrondissement;1;000;293.98064823
13201;Marseille 1er Arrondissement;1;001;311.40411923
13201;Marseille 1er Arrondissement;1;002;257.55156994
13201;Marseille 1er Arrondissement;1;003;249.26498077
13201;Marseille 1er Arrondissement;1;004;188.5914263
13201;Marseille 1er Arrondissement;1;005;195.87223954
13201;Marseille 1er Arrondissement;1;006;230.68597012
13201;Marseille 1er Arrondissement;1;007;169.17044937
13201;Marseille 1er Arrondissement;1;008;203.77458248
13201;Marseille 1er Arrondissement;1;009;240.01443391
13201;Marseille 1er Arrondissement;1;010;271.7255185
13201;Marseille 1er Arrondissement;1;011;239.04308039
13201;Marseille 1er Arrondissement;1;012;168.91015213
13201;Marseille 1er Arrondissement;1;013;178.59207326
13201;Marseille 1er Arrondissement;1;014;132.58933965
13201;Marseille 1er Arrondissement;1;015;172.46535341
13201;Marseille 1er Arrondissement;1;016;210.58376123
13201;Marseille 1er Arrondissement;1;017;200.65252888
13201;Marseille 1er Arrondissement;1;018;322.16642113
13201;Marseille 1er Arrondissement;1;019;409.95060422
13201;Marseille 1er Arrondissement;1;020;301.59600022
13201;Marseille 1er Arrondissement;1;021;407.43939253
13201;Marseille 1er Arrondissement;1;022;381.39371987
13201;Marseille 1er Arrondissement;1;023;297.11217535
13201;Marseille 1er Arrondissement;1;024;383.98839337
13201;Marseille 1er Arrondissement;1;025;364.24977366
13201;Marseille 1er Arrondissement;1;026;298.49027316
13201;Marseille 1er Arrondissement;1;027;330.0953305
13201;Marseille 1er Arrondissement;1;028;304.3361422
13201;Marseille 1er Arrondissement;1;029;339.8419864
13201;Marseille 1er Arrondissement;1;030;295.45678143
13201;Marseille 1er Arrondissement;1;031;338.35129852
13201;Marseille 1er Arrondissement;1;032;339.96857767
13201;Marseille 1er Arrondissement;1;033;374.95964155
13201;Marseille 1er Arrondissement;1;034;292.03827077
13201;Marseille 1er Arrondissement;1;035;232.09269622
13201;Marseille 1er Arrondissement;1;036;281.84537706
13201;Marseille 1er Arrondissement;1;037;267.12887395
13201;Marseille 1er Arrondissement;1;038;237.62749179
13201;Marseille 1er Arrondissement;1;039;325.7457944
13201;Marseille 1er Arrondissement;1;040;363.82114122
13201;Marseille 1er Arrondissement;1;041;299.28662787
13201;Marseille 1er Arrondissement;1;042;267.4549407
13201;Marseille 1er Arrondissement;1;043;305.92557163
13201;Marseille 1er Arrondissement;1;044;255.17369156
13201;Marseille 1er Arrondissement;1;045;302.62281681
13201;Marseille 1er Arrondissement;1;046;268.33494677
13201;Marseille 1er Arrondissement;1;047;326.19087574
13201;Marseille 1er Arrondissement;1;048;297.85038703
13201;Marseille 1er Arrondissement;1;049;295.77770655
13201;Marseille 1er Arrondissement;1;050;262.22524319
13201;Marseille 1er Arrondissement;1;051;304.84590261
13201;Marseille 1er Arrondissement;1;052;245.15698231
13201;Marseille 1er Arrondissement;1;053;228.55236783
13201;Marseille 1er Arrondissement;1;054;236.48761819
13201;Marseille 1er Arrondissement;1;055;208.55359287
13201;Marseille 1er Arrondissement;1;056;266.55663765
13201;Marseille 1er Arrondissement;1;057;207.76974412
13201;Marseille 1er Arrondissement;1;058;238.88921295
13201;Marseille 1er Arrondissement;1;059;212.17583896
13201;Marseille 1er Arrondissement;1;060;184.45344601
13201;Marseille 1er Arrondissement;1;061;225.3953763
13201;Marseille 1er Arrondissement;1;062;195.75511242
13201;Marseille 1er Arrondissement;1;063;220.45366767
13201;Marseille 1er Arrondissement;1;064;232.8530179
13201;Marseille 1er Arrondissement;1;065;241.18413932
13201;Marseille 1er Arrondissement;1;066;197.40257704
13201;Marseille 1er Arrondissement;1;067;287.34425255
13201;Marseille 1er Arrondissement;1;068;167.92228844
13201;Marseille 1er Arrondissement;1;069;211.14878204
13201;Marseille 1er Arrondissement;1;070;195.89680152
13201;Marseille 1er Arrondissement;1;071;135.82259853
13201;Marseille 1er Arrondissement;1;072;135.11822492
13201;Marseille 1er Arrondissement;1;073;161.95536773
13201;Marseille 1er Arrondissement;1;074;145.24403674
13201;Marseille 1er Arrondissement;1;075;155.78828627
13201;Marseille 1er Arrondissement;1;076;82.740582283
13201;Marseille 1er Arrondissement;1;077;129.80423702
13201;Marseille 1er Arrondissement;1;078;99.019242314
13201;Marseille 1er Arrondissement;1;079;88.733127882
13201;Marseille 1er Arrondissement;1;080;63.395966338
13201;Marseille 1er Arrondissement;1;081;80.353266109
13201;Marseille 1er Arrondissement;1;082;76.481560479
13201;Marseille 1er Arrondissement;1;083;67.921811408
13201;Marseille 1er Arrondissement;1;084;45.801565668
13201;Marseille 1er Arrondissement;1;085;40.488491058
13201;Marseille 1er Arrondissement;1;086;42.083489097
13201;Marseille 1er Arrondissement;1;087;31.474470957
13201;Marseille 1er Arrondissement;1;088;18.419807429
13201;Marseille 1er Arrondissement;1;089;45.419607455
13201;Marseille 1er Arrondissement;1;090;37.427484592
13201;Marseille 1er Arrondissement;1;091;29.199211024
13201;Marseille 1er Arrondissement;1;092;0.3333343395
13201;Marseille 1er Arrondissement;1;093;9.201392325
13201;Marseille 1er Arrondissement;1;094;8.4004794684
13201;Marseille 1er Arrondissement;1;095;0
13201;Marseille 1er Arrondissement;1;096;2.7361941902
13201;Marseille 1er Arrondissement;1;097;0
13201;Marseille 1er Arrondissement;1;098;0
13201;Marseille 1er Arrondissement;1;099;1.0066026581
13201;Marseille 1er Arrondissement;1;100;1.0369129114
13201;Marseille 1er Arrondissement;2;000;313.13701834
13201;Marseille 1er Arrondissement;2;001;245.95587606
13201;Marseille 1er Arrondissement;2;002;194.66374215
13201;Marseille 1er Arrondissement;2;003;206.77884881
13201;Marseille 1er Arrondissement;2;004;210.64735396
13201;Marseille 1er Arrondissement;2;005;245.87740981
13201;Marseille 1er Arrondissement;2;006;228.19500876
13201;Marseille 1er Arrondissement;2;007;201.8544427
13201;Marseille 1er Arrondissement;2;008;268.73605333
13201;Marseille 1er Arrondissement;2;009;272.79734811
13201;Marseille 1er Arrondissement;2;010;202.56929371
13201;Marseille 1er Arrondissement;2;011;179.70358802
13201;Marseille 1er Arrondissement;2;012;189.49791397
13201;Marseille 1er Arrondissement;2;013;175.0028817
13201;Marseille 1er Arrondissement;2;014;205.06561936
13201;Marseille 1er Arrondissement;2;015;179.34671643
13201;Marseille 1er Arrondissement;2;016;178.73363436
13201;Marseille 1er Arrondissement;2;017;204.73749551
13201;Marseille 1er Arrondissement;2;018;391.318601
13201;Marseille 1er Arrondissement;2;019;368.55081691
13201;Marseille 1er Arrondissement;2;020;352.5506983
13201;Marseille 1er Arrondissement;2;021;410.61288692
13201;Marseille 1er Arrondissement;2;022;283.5037148
13201;Marseille 1er Arrondissement;2;023;369.64702419
13201;Marseille 1er Arrondissement;2;024;368.57770395
13201;Marseille 1er Arrondissement;2;025;336.32503235
13201;Marseille 1er Arrondissement;2;026;325.09306008
13201;Marseille 1er Arrondissement;2;027;312.2623722
13201;Marseille 1er Arrondissement;2;028;303.4255492
13201;Marseille 1er Arrondissement;2;029;324.4017073
13201;Marseille 1er Arrondissement;2;030;314.90398648
13201;Marseille 1er Arrondissement;2;031;306.041331
13201;Marseille 1er Arrondissement;2;032;291.6190322
13201;Marseille 1er Arrondissement;2;033;280.50432321
13201;Marseille 1er Arrondissement;2;034;324.66373938
13201;Marseille 1er Arrondissement;2;035;280.60268979
13201;Marseille 1er Arrondissement;2;036;265.53587195
13201;Marseille 1er Arrondissement;2;037;267.49707514
13201;Marseille 1er Arrondissement;2;038;282.32285139
13201;Marseille 1er Arrondissement;2;039;271.46823801
13201;Marseille 1er Arrondissement;2;040;246.44760867
13201;Marseille 1er Arrondissement;2;041;291.97635405
13201;Marseille 1er Arrondissement;2;042;309.27757413
13201;Marseille 1er Arrondissement;2;043;296.87078207
13201;Marseille 1er Arrondissement;2;044;248.20262422
13201;Marseille 1er Arrondissement;2;045;286.76918056
13201;Marseille 1er Arrondissement;2;046;253.65273396
13201;Marseille 1er Arrondissement;2;047;246.40987256
13201;Marseille 1er Arrondissement;2;048;236.43527147
13201;Marseille 1er Arrondissement;2;049;265.74320711
13201;Marseille 1er Arrondissement;2;050;274.15275373
13201;Marseille 1er Arrondissement;2;051;265.1140978
13201;Marseille 1er Arrondissement;2;052;197.94931709
13201;Marseille 1er Arrondissement;2;053;225.8548032
13201;Marseille 1er Arrondissement;2;054;303.17287103
13201;Marseille 1er Arrondissement;2;055;254.5635715
13201;Marseille 1er Arrondissement;2;056;194.11908721
13201;Marseille 1er Arrondissement;2;057;215.61722066
13201;Marseille 1er Arrondissement;2;058;169.12080134
13201;Marseille 1er Arrondissement;2;059;213.29651574
13201;Marseille 1er Arrondissement;2;060;187.03393463
13201;Marseille 1er Arrondissement;2;061;196.27109744
13201;Marseille 1er Arrondissement;2;062;179.89877865
13201;Marseille 1er Arrondissement;2;063;188.07686212
13201;Marseille 1er Arrondissement;2;064;236.60438
13201;Marseille 1er Arrondissement;2;065;213.19501835
13201;Marseille 1er Arrondissement;2;066;175.63550839
13201;Marseille 1er Arrondissement;2;067;204.96895149
13201;Marseille 1er Arrondissement;2;068;185.97039671
13201;Marseille 1er Arrondissement;2;069;183.42438974
13201;Marseille 1er Arrondissement;2;070;166.69065548
13201;Marseille 1er Arrondissement;2;071;127.20959589
13201;Marseille 1er Arrondissement;2;072;116.25579611
13201;Marseille 1er Arrondissement;2;073;113.62770699
13201;Marseille 1er Arrondissement;2;074;109.07243909
13201;Marseille 1er Arrondissement;2;075;80.102657325
13201;Marseille 1er Arrondissement;2;076;88.908034926
13201;Marseille 1er Arrondissement;2;077;112.4079499
13201;Marseille 1er Arrondissement;2;078;108.87506709
13201;Marseille 1er Arrondissement;2;079;93.041756534
13201;Marseille 1er Arrondissement;2;080;90.713490362
13201;Marseille 1er Arrondissement;2;081;49.535019725
13201;Marseille 1er Arrondissement;2;082;50.787132864
13201;Marseille 1er Arrondissement;2;083;77.77113316
13201;Marseille 1er Arrondissement;2;084;81.826372985
13201;Marseille 1er Arrondissement;2;085;91.674711044
13201;Marseille 1er Arrondissement;2;086;62.505181615
13201;Marseille 1er Arrondissement;2;087;66.390025907
